date,price,bid,ask,vol,dollar_vol
2009-09-28,51.53,51.53,51.55,100.0,5153.0
2009-09-29,51.49,51.48,51.5,700.0,36043.0
2009-09-30,51.19,51.19,51.29,1800.0,92142.0
2009-10-01,50.3166,49.55,50.31,109373.0,5503277.4918
2009-10-02,49.51,49.5,49.55,600.0,29706.0
2009-10-03,,,,,
2009-10-04,,,,,
2009-10-05,50.4938,50.43,50.54,2400.0,121185.12
2009-10-06,51.1,51.1,51.16,8000.0,408800.0
2009-10-07,51.2571,51.14,51.26,2000.0,102514.2
2009-10-08,51.58,51.56,51.58,581.0,29967.98
2009-10-09,51.86,51.86,51.87,100.0,5186.0
2009-10-10,,,,,
2009-10-11,,,,,
2009-10-12,52.14,52.14,52.15,1000.0,52140.0
2009-10-13,51.94,51.94,51.95,400.0,20776.0
2009-10-14,52.94,52.94,52.97,1345.0,71204.3
2009-10-15,52.99,53.01,53.04,500.0,26495.0
2009-10-16,52.47,52.45,52.47,861.0,45176.67
2009-10-17,,,,,
2009-10-18,,,,,
2009-10-19,52.85,52.85,52.88,200.0,10570.0
2009-10-20,52.53,52.51,52.54,432.0,22692.96
2009-10-21,51.8,51.8,51.82,801.0,41491.799999999996
2009-10-22,52.47,52.47,52.49,738.0,38722.86
2009-10-23,51.71,51.69,51.71,596.0,30819.16
2009-10-24,,,,,
2009-10-25,,,,,
2009-10-26,50.8686,50.88,51.01,2000.0,101737.2
2009-10-27,50.61,50.61,50.62,200.0,10122.0
2009-10-28,49.69,49.67,49.69,500.0,24845.0
2009-10-29,50.88,50.88,50.89,3971.0,202044.48
2009-10-30,49.3602,49.23,49.38,5000.0,246801.0
2009-10-31,,,,,
2009-11-01,,,,,
2009-11-02,49.69,49.68,49.69,5200.0,258388.0
2009-11-03,49.8101,49.43,50.07,11200.0,557873.12
2009-11-04,49.758,49.74,49.76,3575.0,177884.85
2009-11-05,50.7287,50.61,50.79,6000.0,304372.2
2009-11-06,50.89,50.86,50.88,270.0,13740.3
2009-11-07,,,,,
2009-11-08,,,,,
2009-11-09,52.17,52.17,52.19,1700.0,88689.0
2009-11-10,52.19,52.17,52.19,300.0,15657.0
2009-11-11,52.5,52.48,52.5,288.0,15120.0
2009-11-12,51.96,51.94,51.96,230.0,11950.800000000001
2009-11-13,52.16,52.15,52.17,700.0,36512.0
2009-11-14,,,,,
2009-11-15,,,,,
2009-11-16,52.8752,52.87,52.89,400.0,21150.079999999998
2009-11-17,52.93,52.93,52.95,508.0,26888.44
